asin,name,price,rating,reviews,product_url,image_url
B0FN7RN9TH,"Samsung Galaxy M17 5G Mobile (Sapphire Black, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger","14,499",4.0/5,37,https://www.amazon.in/dp/B0FN7RN9TH,https://m.media-amazon.com/images/I/714QJQZszoL._AC_UY218_.jpg
B0FHB59PXX,"iQOO Z10R 5G (Moonstone, 8GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu","24,999",4.4/5,48,https://www.amazon.in/dp/B0FHB59PXX,https://m.media-amazon.com/images/I/61IOl0PvbFL._AC_UY218_.jpg
B0H1B6WTN3,"realme NARZO 80 Lite 4G (Beach Gold 2026, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist","11,498",4.1/5,31,https://www.amazon.in/dp/B0H1B6WTN3,https://m.media-amazon.com/images/I/71RiAp+yw5L._AC_UY218_.jpg
B0FN7QTRPY,"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger","9,999",4.2/5,18,https://www.amazon.in/dp/B0FN7QTRPY,https://m.media-amazon.com/images/I/610lbucItmL._AC_UY218_.jpg
B0GVYDLJJQ,"OnePlus Nord CE6 Lite | 6GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording","24,999",4.3/5,923,https://www.amazon.in/dp/B0GVYDLJJQ,https://m.media-amazon.com/images/I/61T18EfkX0L._AC_UY218_.jpg
B0F1D9LCK3,"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof","23,999",4.3/5,31,https://www.amazon.in/dp/B0F1D9LCK3,https://m.media-amazon.com/images/I/71J+dpjrzhL._AC_UY218_.jpg
B0GS5M4VMH,"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display","13,999",3.4/5,972,https://www.amazon.in/dp/B0GS5M4VMH,https://m.media-amazon.com/images/I/71AjkPyeFiL._AC_UY218_.jpg
B0GN1PZ913,"Samsung Galaxy M17e 5G Mobile (Vibe Violet, 4GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger","12,998",3.8/5,417,https://www.amazon.in/dp/B0GN1PZ913,https://m.media-amazon.com/images/I/7167KfKpKuL._AC_UY218_.jpg
B0GZGBXWJZ,"realme NARZO 90x 5G (Flash Blue 2026, 6GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in the Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | 400% Ultra Boom Speaker","18,999",4.2/5,15,https://www.amazon.in/dp/B0GZGBXWJZ,https://m.media-amazon.com/images/I/81RhiMu3iJL._AC_UY218_.jpg
B0GTRXVQ8N,"realme narzo 100 Lite 5G (Frost Silver,4GB+64GB) | 7000mAh Titan Battery | 4 Years, Zero Lag | 144 Hz Ultra Smooth Display | 6 nm Octa-core 5G Chipset | Color Pop Design | VC Cooling","14,799",4.2/5,121,https://www.amazon.in/dp/B0GTRXVQ8N,https://m.media-amazon.com/images/I/81vHnwGKVSL._AC_UY218_.jpg
B0G822MS12,"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger","12,499",4.1/5,88,https://www.amazon.in/dp/B0G822MS12,https://m.media-amazon.com/images/I/71vibvcdAlL._AC_UY218_.jpg
B0GL1WGHJX,"Lava Bold N2 (Indus Black, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box","8,999",3.8/5,271,https://www.amazon.in/dp/B0GL1WGHJX,https://m.media-amazon.com/images/I/517h1ScmuQL._AC_UY218_.jpg
B0H1JG89ZB,"iQOO Z10 Lite 5G (Titanium Blue 2026, 4GB RAM, 64GB Storage)","14,999",4.2/5,77,https://www.amazon.in/dp/B0H1JG89ZB,https://m.media-amazon.com/images/I/613RKG4NCgL._AC_UY218_.jpg
B0G1YNG5S6,"Motorola G67 Power 5G (Pantone Cilantro, 8GB RAM, 128GB Storage) | 6.7"" FHD+ 120Hz LCD Display | Snapdragon 7s Gen2 Processor | 50MP + 8MP UW Camera | 7000mAh Battery with 30W Charger | IP64 | 6.7"" FHD+ 120Hz LCD Display, Snapdragon 7s Gen2 Processor, 50MP + 8MP UW Camera, 7000mAh Battery with 30W Charger, IP64","21,490",4.3/5,400,https://www.amazon.in/dp/B0G1YNG5S6,https://m.media-amazon.com/images/I/712eFKWtHCL._AC_UY218_.jpg
B0FDB9H9Z7,"Samsung Galaxy M36 5G Mobile (Serene Green, 8GB RAM, 128GB Storage) | Google Gemini| Gorilla Glass Victus+ | 7.7mm | AI Enhanced 50MP OIS Triple Camera| Nightography| Lag-free Gaming | Without Charger","19,799",4.1/5,18,https://www.amazon.in/dp/B0FDB9H9Z7,https://m.media-amazon.com/images/I/71UzHCLBm1L._AC_UY218_.jpg
B0G47YZJH6,"Nothing Phone (3a) Lite (White, 128 GB) (8 GB RAM)","27,749",4.4/5,144,https://www.amazon.in/dp/B0G47YZJH6,https://m.media-amazon.com/images/I/41q+vxdDuHL._AC_UY218_.jpg
B0H297QC3Z,REDMI Turbo 5 (12GB + 256GB) Nitro Blue | Dimensity 8500 Ultra | Mega 7540mAh Battery | 100W HyperCharge | Compact 16.75cm(6.59) 120Hz AMOLED Screen | 50MP Sony OIS Camera | Upto 60% Assured Buyback,"40,999",,,https://www.amazon.in/dp/B0H297QC3Z,https://m.media-amazon.com/images/I/714e05N5QoL._AC_UY218_.jpg
B0GTRSCBWX,"realme narzo 100 Lite 5G (Thunder Black,6GB+128GB) | 7000mAh Titan Battery | 4 Years, Zero Lag | 144 Hz Ultra Smooth Display | 6 nm Octa-core 5G Chipset | Color Pop Design | VC Cooling","18,999",3.9/5,81,https://www.amazon.in/dp/B0GTRSCBWX,https://m.media-amazon.com/images/I/81VLfISX7NL._AC_UY218_.jpg
B0G3SWTTQ7,"Motorola G57 Power 5G (Corsair, 8GB RAM, 128GB Storage) | Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64","19,185",4.3/5,617,https://www.amazon.in/dp/B0G3SWTTQ7,https://m.media-amazon.com/images/I/51snxpxFOJL._AC_UY218_.jpg
B0F7RB8NNL,"Nothing Phone (3), Black (16GB, 512 GB) | Snapdragon 8s Gen 4 | 50MP + 50MP + 50MP Rear Camera | 1.5K+ 120Hz AMOLED Flexible LTPS Display","51,999",4.4/5,329,https://www.amazon.in/dp/B0F7RB8NNL,https://m.media-amazon.com/images/I/717z2bNF6DL._AC_UY218_.jpg
B0G3X99MZS,realme P4X Smartphone 6.72 inch 144Hz Display 7000mAh Titan Bettery 45W Fast Charge 6GB RAM 128GB ROM Dimensity 7400 Ultra 5G Chipset IP64 Waterproof Dual SIM (Matte Sliver),"19,739",4.3/5,550,https://www.amazon.in/dp/B0G3X99MZS,https://m.media-amazon.com/images/I/71jQQEp8bkL._AC_UY218_.jpg
B0GFVPT1X9,"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Obsidian Black","13,299",4.1/5,2,https://www.amazon.in/dp/B0GFVPT1X9,https://m.media-amazon.com/images/I/61poC8L0VAL._AC_UY218_.jpg
B0F5WSDY93,OnePlus 13s | Snapdragon® 8 Elite | Smarter with OnePlus AI | Lifetime Display Warranty | 12GB+256GB | Pink Satin,"49,999",4.6/5,21,https://www.amazon.in/dp/B0F5WSDY93,https://m.media-amazon.com/images/I/61S9OTdUFqL._AC_UY218_.jpg
B0GRQP1CFS,"Motorola Edge 70 Fusion 5G (Pantone Blue Surf, 8GB RAM, 256GB Storage) | Snapdragon 7s Gen 4 Processor | 50MP Sony LYTIA Camera | 6.78"" 144Hz AMOLED Display | 7000mAh Battery | 68W Fast Charging","32,990",3.9/5,189,https://www.amazon.in/dp/B0GRQP1CFS,https://m.media-amazon.com/images/I/61GF9T7Z5lL._AC_UY218_.jpg
B0C5RJDJPV,"Nokia All-new 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio| 1 Year Replacement Guarantee | Cyan","1,199",4.0/5,16,https://www.amazon.in/dp/B0C5RJDJPV,https://m.media-amazon.com/images/I/61v3V9bh1iL._AC_UY218_.jpg
B0GL8HZF8R,"Samsung Galaxy S26 5G (Sky Blue, 12GB RAM, 256GB Storage), AI Phone, Photo Assist, Creative Studio, 50MP Camera with ProVisual Engine, Powerful Customized Processor and 4300mAh Battery","79,999",4.3/5,174,https://www.amazon.in/dp/B0GL8HZF8R,https://m.media-amazon.com/images/I/71tDWJ3ZHaL._AC_UY218_.jpg
B0GRVR67B1,Motorola All-New A300-2026 Dual Sim keypad Phone | 2 Years Replacement | Type C Charging Port |Long Lasting Battery | Loud Sound | Wireless FM | (Purple Elite),"1,370",3.9/5,655,https://www.amazon.in/dp/B0GRVR67B1,https://m.media-amazon.com/images/I/61gUT-Z-aNL._AC_UY218_.jpg
B0GQVHNX7R,"Apple iPhone 17e 512 GB: 15.40 cm (6.1″) Super Retina XDR Display, A19 Chip, All-Day Battery Life, 48MP Fusion Camera, 256GB Starting Storage; Soft Pink","82,900",4.2/5,74,https://www.amazon.in/dp/B0GQVHNX7R,https://m.media-amazon.com/images/I/61zVFiTawKL._AC_UY218_.jpg
B0DX655V11,"Samsung Galaxy M06 5G Mobile (Sage Green, 6GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger","14,499",4.1/5,88,https://www.amazon.in/dp/B0DX655V11,https://m.media-amazon.com/images/I/71vibvcdAlL._AC_UY218_.jpg
B0GP78FV52,"iQOO Z11x 5G (Titan Black, 8GB RAM, 128 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery | 4K Video Recording Front & Back | IP68 & IP69+ | Powered by OriginOS 6","24,998",4.1/5,11,https://www.amazon.in/dp/B0GP78FV52,https://m.media-amazon.com/images/I/618IOq-RikL._AC_UY218_.jpg
B0GZGPZHL1,"Itel Zeno 200 (Comet Orange, 4 GB RAM, 128 GB Storage) | 6.75"" HD+ Display | 120 Hz Refresh Rate | IP65 Dust & Water Resistance | 13 MP Camera | 5000 mAh Battery | Charger in Box","9,699",3.9/5,32,https://www.amazon.in/dp/B0GZGPZHL1,https://m.media-amazon.com/images/I/61VJn7ZWVIL._AC_UY218_.jpg
B0GN24SV22,"Samsung Galaxy M17e 5G Mobile (Blitz Blue, 4GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger","12,998",3.8/5,417,https://www.amazon.in/dp/B0GN24SV22,https://m.media-amazon.com/images/I/711NP4juOiL._AC_UY218_.jpg
B0FTR2PJTV,OnePlus 15 | 16GB+512GB | Sand Storm | India's First Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalised AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,"93,998",4.6/5,14,https://www.amazon.in/dp/B0FTR2PJTV,https://m.media-amazon.com/images/I/616kkUbRg4L._AC_UY218_.jpg
B0FT7T3GZF,"Samsung Galaxy F07 (Green, 64 GB) (4 GB RAM)","9,884",3.8/5,212,https://www.amazon.in/dp/B0FT7T3GZF,https://m.media-amazon.com/images/I/317CVL0zICL._AC_UY218_.jpg
B0GN1P5CSY,"Samsung Galaxy M17e 5G Mobile (Vibe Violet, 4GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger","12,999",3.8/5,417,https://www.amazon.in/dp/B0GN1P5CSY,https://m.media-amazon.com/images/I/717m3kkQM1L._AC_UY218_.jpg
B0G5G7LNCV,"REDMI Note 15 5G (Glacier Blue, 8GB RAM 256GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | 5520mAh Battery | 45W Fast Charging","28,999",4.1/5,966,https://www.amazon.in/dp/B0G5G7LNCV,https://m.media-amazon.com/images/I/81SxS-bDvVL._AC_UY218_.jpg
B0GTRKWY7J,"realme narzo 100 Lite 5G (Frost Silver,6GB+128GB) | 7000mAh Titan Battery | 4 Years, Zero Lag | 144 Hz Ultra Smooth Display | 6 nm Octa-core 5G Chipset | Color Pop Design | VC Cooling","18,999",3.9/5,81,https://www.amazon.in/dp/B0GTRKWY7J,https://m.media-amazon.com/images/I/81vHnwGKVSL._AC_UY218_.jpg
B0H297QC3Z,REDMI Turbo 5 (12GB + 256GB) Nitro Blue | Dimensity 8500 Ultra | Mega 7540mAh Battery | 100W HyperCharge | Compact 16.75cm(6.59) 120Hz AMOLED Screen | 50MP Sony OIS Camera | Upto 60% Assured Buyback,"40,999",,,https://www.amazon.in/dp/B0H297QC3Z,https://m.media-amazon.com/images/I/714e05N5QoL._AC_UY218_.jpg
B0GTTXP6WF,"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone","24,849",4.1/5,116,https://www.amazon.in/dp/B0GTTXP6WF,https://m.media-amazon.com/images/I/71uPWQoOysL._AC_UY218_.jpg
B0GHQVR1N8,"vivo V70 5G (Passion Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","53,999",4.6/5,264,https://www.amazon.in/dp/B0GHQVR1N8,https://m.media-amazon.com/images/I/71uAly+24OL._AC_UY218_.jpg
B0CJMJQ1QD,"Nokia 105 Classic | Single SIM Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Without Charger | Blue",979,3.9/5,68,https://www.amazon.in/dp/B0CJMJQ1QD,https://m.media-amazon.com/images/I/51JF6aannbL._AC_UY218_.jpg
